search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Solanum argentinum,2e728f58-34b5-41fb-84d5-8d1cc2661f2e,http://n2t.net/ark:/65665/37487148c-ee8d-4a6c-a5d4-71942d68afc9,us 1442924,solanaceae,solanum,solanum argentinum,argentina,tucumán,-64.92,-26.5,1928-12-30,s. venturi,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1928
Solanum argentinum,345b1b18-9f4e-401b-9ca1-9fd864f9cbfc,http://n2t.net/ark:/65665/3d502be5f-deac-4891-b59e-306d51abaa44,us 3181872,solanaceae,solanum,solanum argentinum,bolivia,santa cruz,-63.28,-20.43,1987-07-23,m. nee,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1987
Solanum argentinum,35e39477-9ecf-4248-a6d6-5507beb7fbdd,http://n2t.net/ark:/65665/34c77878f-e36b-43d8-b1b0-90592617b40b,us 1904594,solanaceae,solanum,solanum argentinum,argentina,catamarca,-64.3,-25.5,1943-02-05,h. h. bartlett,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1943
Solanum argentinum,5be09ed8-23bd-41db-b8af-f27eb9b117b8,http://n2t.net/ark:/65665/3a689112c-6a75-48a1-b634-77c905f9b348,us 1548979,solanaceae,solanum,solanum argentinum,argentina,santiago del estero,-65.1,-24.28,1928-01-13,s. venturi,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1928
Solanum argentinum,616304d6-173f-4ca9-b31c-5e45387f96b8,http://n2t.net/ark:/65665/3a81edd0e-7991-48a9-8303-4e548e6871d1,us 1804074,solanaceae,solanum,solanum argentinum,argentina,salta,-65.42,-25.25,1941-01-30,a. t. hunziker,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1941
Solanum argentinum,621a3b79-a820-456d-a7dc-7975186f40f8,http://n2t.net/ark:/65665/39be525ae-668e-4ef5-915c-a491906a9f9a,us 1931724,solanaceae,solanum,solanum argentinum,argentina,santiago del estero,-65.47,-25.62,NA,s. a. pierotti,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,NA
Solanum argentinum,6a03720f-35d8-42d9-8163-237ccf9c599a,http://n2t.net/ark:/65665/36519822f-34e9-47af-81fc-97e285779eb4,us 1705292,solanaceae,solanum,solanum argentinum,argentina,tucumán,-65.15,-25.17,1935-12-27,y. mexia,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1935
Solanum argentinum,6a0d9eb3-1734-45f7-87c2-e5c5aaec5098,http://n2t.net/ark:/65665/32a76a8ff-e0f2-45e3-93d3-09a09c602d8f,us 1548879,solanaceae,solanum,solanum argentinum,argentina,tucumán,-65.25,-26.78,1923-12-16,s. venturi,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1923
Solanum argentinum,6ae0c615-df23-4284-a2d0-ad025b8deb34,http://n2t.net/ark:/65665/347770af5-78ba-4bc6-8891-2807cb22c31c,us 2923091,solanaceae,solanum,solanum argentinum,argentina,formosa,-59.5,-24.33,1945-08-22,s. a. pierotti,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,1945
Solanum argentinum,7e310a84-4ca3-4017-a03a-dcea81f022f0,http://n2t.net/ark:/65665/3dff5d748-3a01-4818-bfb4-c445c420e0f4,us 3596990,solanaceae,solanum,solanum argentinum,bolivia,santa cruz,-64.1,-18.03,2002-03-31,"m. nee, m. sundue & a. carrasco",a6eee223-cf3b-4079-8bb2-b77dad8cae9d,2002
